q,label
여자 주인공이 멋진 영화 추천해 주세요.,0
가족 간의 갈등을 다룬 영화 추천 부탁드립니다.,0
정체성을 찾는 이야기를 다룬 영화 추천 부탁드립니다.,0
세상에서 가장 맛있는 아이스크림을 찾아 모험을 떠나는 내용의 영화를 추천해줘,1
기분 전환이 되는 코미디 영화 추천 부탁드립니다.,0
여자 주인공이 강한 영화 추천해 주세요.,0
추억의 명작 애니메이션 추천해 주세요.,0
가장 재미있는 판타지 애니메이션 추천 부탁드립니다.,0
가장 감동적인 실화 바탕의 영화 추천 부탁드립니다.,0
사랑에 관한 다양한 시각을 다룬 영화 추천 부탁드립니다.,0
옛날에 인기있던 영화 있으면 알려줘,0
재미있고 가벼운 영화 추천 부탁드립니다.,0
가슴 아픈 사랑 이야기를 다룬 영화 추천해 주세요.,0
온 가족이 함께 즐길 수 있는 영화 추천 부탁드립니다.,0
전통 문화를 다룬 영화 추천해 주세요.,0
요즘 볼 만한 영화 뭐 있을까요?,0
가장 감동적인 다큐멘터리 영화 추천해 주세요.,0
섹드립을 잘하는 사람과 음란마귀가 낀 사람의 환상적인 케미를 보여주는 영화를 추천해줘,1
눈물을 자아내는 감동적인 드라마 추천해 주세요.,0
온 가족이 함께 보기 좋은 영화 추천 부탁드립니다.,0
강아지가 주인을 잃어버려 주인찾아 집으로 직접 찾아가는 내용의 영화를 추천해줘,1
여행과 모험이 담긴 영화 추천해 주세요.,0
교통사고로 기억을 잃어 다시 세상을 공부하는 주인공을 다룬 영화를 추천해줘,1
감성적인 영화 추천해 주실 수 있나요?,0
드라마 장르 영화 추천 부탁드립니다.,0
음악 영화 추천해 주세요!,0
감동적인 영화를 추천해줄래?,0
신뢰와 사랑은 한 몸에 받는 주인공이 마을을 지켜낸다는 내용을 담은 영화를 추천해줘,1
가장 독창적인 캐릭터가 있는 영화 추천해 주세요.,0
정략결혼하고 행복하게 사는 여자의 이야기를 담은 내용의 영화를 추천해줘,1
친구랑 함께 보기 좋은 영화 추천 부탁드립니다.,0
학생이 부모들 사이에 엄청난 비밀을 폭로하여 폭풍 같은 사건을 마주하게 된 가족의 이야기를 담은 영화를 추천해줘,1
주인공이 성장하는 과정을 담은 영화 추천해 주세요.,0
최근에 나온 영화 추천해줘,0
시리즈물 추천해줄래?,0
호러 영화 추천해줘,0
희망적인 메시지를 담은 영화 추천 부탁드립니다.,0
여름 방학에 보기 좋은 영화 추천해 주세요.,0
왕따였던 주인공이 취업하여 회사에서 괴롭히던 가해자를 만나는 내용의 영화를 알려줘,1
개가 주인공이고 주인을 찾아 탐험하는 내용의 영화를 추천해줘,1
소소한 일상을 그린 따뜻한 영화 추천 부탁드립니다.,0
극단적인 선택을 해야되는 주인공의 내용인 영화를 추천해줘,1
인플루언서가 미스터리한 장소를 찾아다니면서 공포스러운 일을 만나는 영화를 찾아줘,1
사랑과 갈등을 다룬 드라마 영화 추천 부탁드립니다.,0
가장 슬픈 애니메이션 영화 추천해 주세요.,0
익명의 범인으로부터 죽음을 예고하는 전화를 받아 범인을 찾게되는 내용의 영화를 추천해줘,1
만화 캐릭터 짱구가 등장하는 내용의 영화를 추천해줘,1
미래 사회를 그린 SF 영화 추천해 주세요.,0
한 여성이 살아남기 위해 필사의 사투를 벌이는 스토리의 영화를 추천해줘,1
잘못을 진심으로 뉘우치고 슬럼프를 극복해나가는 내용의 영화가 있으면 추천해줘,1
여름에 잘 어울리는 코미디 영화 추천 부탁드립니다.,0
어린이와 함께 볼 수 있는 영화 추천해 주세요.,0
정체불명의 바이러스가 사람들을 감염시키고 지구의 멸망을 도래하는 줄거리의 영화 알려줘,1
고전 영화 추천 좀 해주세요.,0
주인공이 갑자기 큰 힘을 얻어서 세상을 구하는 내용을 담은 영화를 추천해줘,1
액션 영화 중에 추천할 만한 거 있을까요?,0
소소한 일상 속의 이야기를 다룬 영화 추천해 주세요.,0
인생의 전환점을 그린 영화 추천 부탁드립니다.,0
서스펜스가 가득한 영화 추천해 주세요.,0
영원을 살기 위해 약을 개발하는 내용을 나루는 영화를 추천해줘,1
고전 영화 추천 좀 해주세요.,0
재미있고 감동적인 애니메이션 추천 부탁드립니다.,0
가장이 상사와 가족에게 치이고 살다가 가정의 평화를 찾는 내용의 영화 추천해줘,1
최신 영화 추천해줘,0
실화를 바탕으로 한 감동적인 드라마 추천해 주세요.,0
사회적 이슈를 다룬 강렬한 드라마 추천 부탁드립니다.,0
사랑이 주제인 아름다운 영화 추천 부탁드립니다.,0
상영시간이 짧은 영화를 추천해줘,0
유머와 감동이 함께하는 영화 추천해 주세요.,0
여행 중의 우연한 만남을 다룬 영화 추천해 주세요.,0
여행을 떠나고 싶게 만드는 영화 추천 부탁드립니다.,0
가장 독창적인 시나리오를 가진 영화 추천 부탁드립니다.,0
최근에 SF 영화를 봤는데 이런 부류 영화 추천해줘,0
사회적 메시지를 담은 영화 추천 부탁드립니다.,0
혹시 독립 영화중 추천할 영화가 있어? 있으면 추천해줘,0
공포 영화 추천해 주세요!,0
기발한 설정의 SF 영화 추천 부탁드립니다.,0
여행과 모험이 결합된 영화 추천 부탁드립니다.,0
가장 슬픈 영화 추천 부탁드립니다.,0
해리포터의 시리즈와 반지의 제왕을 잇는 정통 판타지의 내용을 담은 영화를 추천해줘,1
수명이 얼마 안남은 아이를 위해 아름다운 추억을 쌓는 내용의 영화를 추천해줘,1
우정의 소중함을 느낄 수 있는 영화 추천 부탁드립니다.,0
온가족이 함께 즐길 수 있는 영화 추천해 주세요.,0
소소한 일상을 그린 유머가 있는 영화 추천해 주세요.,0
시대극을 다룬 영화 추천 부탁드립니다.,0
입양한 아이를 키우다가 낯선 사람이 아이를 돌려달라고 하는 내용의 영화를 알려줘,1
마음을 따뜻하게 해주는 영화 추천해 주세요.,0
