Q,A,id,translated,augmented
오늘 저녁에 오랜만에 영화 고고?,오우 너무 좋지? ㅎ,1,It's been a while since I watched a movie this evening?,"[""It ' s been a patch since I watch a film this even?""]"
몇 시에 퇴근해?,난 3시면 퇴근하지요 ㅎ 자기는 ?,2,What time do you get off work?,['What time answer you get slay work?']
나는 5시 인데 회사 일이 많아서 조금 더 늦을 수 있어,그럼 영화관 가기는 그렇고 집에서 볼까?,3,"It's 5 o'clock, but I have a lot of work to do, so I can be a little late","[""Information technology ' s 5 atomic number 8 ' clock, but I have a fortune of work to suffice, so Unity can be a minuscule belated""]"
좋지 좋지 ㅎ 집에서 치맥 하면서 볼까?,너무 좋지 하하 상상만 해도 벌써 힐링인데 ㅎ,4,Sounds good. Should we watch it at home while eating chicken and beer?,['Strait salutary. Should we watch it at plate while eating poulet and beer?']
근데 자기 다이어트 한다며 ㅋ 괜찮겠어?,맛있으면 0칼로리라잖아 ㅎ,5,But you said you're on a diet. Are you okay?,"[""Merely you say you ' re on a dieting. Are you okay?""]"
영화엔 카라멜 팝콘도 필수지,카라멜 팝콘은 어디서 사려구 ?,6,Caramel popcorn is a must for movies,['Caramel popcorn be a moldiness for movies']
집에 가는 길에 마트 들려서 사지 뭐 ㅎ,좋아 그럼 자기가 집에 가는 길에 좀 사서 가줘,7,I'll stop by the mart on my way home,"[""Ane ' ll stop by the marketplace on my way home""]"
응응 내가 사서 갈게,콜라도 필요하겠지?,8,"Yes, I'll buy it and go","[""Yes, I ' ll corrupt it and move""]"
당연하지 하하 오늘은 홈 영화관은 오픈 하는 것이네 ㅎ,옹 내가 다 꾸며 놓겠어 기대하시라,9,Of course haha today the home movie theater is open haha,['Of course haha today the abode movie theater represent candid haha']
기대하고 퇴근하겠어 ㅎ,보고 싶은 영화 골라나,10,I'll look forward to going home,"[""I ' ll wait forward to going house""]"
